Frame ,Term 
ethical,high risk ai
ethical,high risk  
ethical,fundamental rights
ethical,natural persons
ethical,rights
ethical,risks
ethical,protection
innovation,sandbox
ethical,annex iii
ethical,biometric
ethical,safety
competition,global
competition,competitiveness
competition,growth
innovation,innovation
innovation,opportunities
